Store Code,DC Code,DC Name,Nama Toko,Kelurahan,Kecamatan,Kab/Kota,Latitude,Longitude,Tipe
TVWV,G157,DC LEBAK,PURI ANGGREK,,,KOTA SERANG,-6.115500,106.210611,INDOMARET
TVWX,G030,DC MAKASSAR,RAJAWALI 59,,,KOTA MAKASSAR,-5.155917,119.410833,INDOMARET
TVX0,G026,DC TANGERANG,PALEM MANIS RAYA,,,KOTA TANGERANG,-6.210417,106.585528,INDOMARET
TVX2,G174,DC TERNATE,TONGUTE,,,LAINNYA,1.496861,127.548472,INDOMARET
TVX3,G107,DC PARUNG,SERPONG PONDOK JAGUNG,,,KOTA TANGERANG SELATAN,-6.261083,106.653028,INDOMARET
TVX5,,,RAWAMANGUN MUKA TIMUR 57 AB,,,KOTA JAKARTA TIMUR,-6.202025,106.882342,INDOMARET
TVX6,G801,DC SEMARANG,WARU RAYA BANYUMANIK,,,KOTA SEMARANG,-7.069111,110.425389,INDOMARET
TVX7,G148,DC JOMBANG,CILIWUNG-BLITAR,,,KABUPATEN BLITAR,-8.073500,112.173611,INDOMARET
TVXD,G157,DC LEBAK,ALAM LESTARI SERANG,,,KOTA SERANG,-6.095528,106.127056,INDOMARET
TVXJ,G050,DC SAMARINDA,ANTASARI NO 6,,,KOTA BALIKPAPAN,-0.494628,117.127272,INDOMARET
TVXM,G027,DC BANDUNG,DERWATI 35,,,KOTA BANDUNG,-6.964006,107.676881,INDOMARET
TVXN,G026,DC TANGERANG,SEGITIGA EMAS RASUNA SAID,,,KOTA TANGERANG,-6.206222,106.649333,INDOMARET
TVXU,,,JERUK PURUT RAYA,,,KOTA JAKARTA SELATAN,-6.287994,106.812500,INDOMARET
TVXX,G029,DC PALEMBANG,KUTA RAYA,,,KOTA PALEMBANG,-3.394278,104.840750,INDOMARET
TVY0,G049,DC PEKANBARU,SRIKANDI 6,,,KOTA PADANG,0.480333,101.407000,INDOMARET
TVY7,G026,DC TANGERANG,TANJUNG KAIT,,,KABUPATEN TANGERANG,-6.016972,106.538813,INDOMARET
TVYB,G259,DC  ACEH,LAMGUGOB,,,KOTA BANDA ACEH,5.565606,95.353217,INDOMARET
