"store_code","store_name","branch_code","branch_name","fc_code","flagroute","mds_name","latitude","longitude","tipe_toko","","","",""
"1Y01","SARONGSONG I [SRO1]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.424461721","124.9791668","AC 10P COKE","","1Y01,1YZ1,1Y14","",""
"1Y04","MANEMBO NEMBO TENGAH [MNOT]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.4350627","125.1186890","AU 10P COKE","","1Y04,1YZ1,1Y14","",""
"1Y05","MAUMBI MINUT [MANU]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.4806577","124.9046161","AU 12P COKE","","1Y05,1YZ1,1Y14","",""
"1Y06","PIERE TENDEAN [PIET]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.478858756","124.8347633","AU 10P COKE","","1Y06,1YZ1,1Y14","",""
"1Y07","LEMBEAN[LEME]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.401427492","125.0060735","AU 8P NON COKE","","1Y07,1YZ1,1Y14","",""
"1Y08","AA MARAMIS [AMIS]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.510959058","124.9116056","AC 10P COKE","","1Y08,1YZ1,1Y14","",""
"1Y09","MAPANGET RAYA [MPER]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.51518103","124.9211849","AU 12P COKE","","1Y09,1YZ1,1Y14","",""
"1Y10","JENSUD MANADO [JSMO]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.489725288","124.8427424","AU 12P COKE","","1Y10,1YZ1,1Y14","",""
"1Y11","MAPANGET TETERUSAN [MATE]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.533900226","124.9346516","AU 10P COKE","","1Y11,1YZ1,1Y14","",""
"1Y13","GIRIAN BITUNG [GIBI]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.442313613","125.1325905","AU 8P COKE","","1Y13,1YZ1,1Y14","",""
"1Y14","MALALAYANG [MLYA]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.456561136","124.8087018","AC 8P COKE","","1Y14,1YZ1,1Y14","",""
"1Y15","PURI KELAPA GADING [PKGA]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.500868757","124.9190517","AU 12P COKE","","1Y15,1YZ1,1Y14","",""
"1Y17","AIRMADIDI ATAS[AIDI]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.4210625","124.9864375","AC 10P COKE","","1Y17,1YZ1,1Y14","",""
"1Y1E","POLI. KAIRAGI DUA [POLD]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.501553374","124.8905586","AU 12P COKE","","1Y1E,1YZ1,1Y14","",""
"1Y1F","KAWILEY MINUT [KAWN]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.3914875","125.0369844","AU 10P COKE","","1Y1F,1YZ1,1Y14","",""
"1Y1K","MATUNGKAS RAYA [MATR]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.473165183","124.9693626","AU 10P COKE","","1Y1K,1YZ1,1Y14","",""
"1Y1L","SINDULANG MANADO [SINO]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.503683442","124.8444843","AU 12P COKE","","1Y1L,1YZ1,1Y14","",""
"1Y1M","PAAL EMPAT MANADO [PALE]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.471218","124.8700613","AU 8P NON COKE","","1Y1M,1YZ1,1Y14","",""
"1Y1N","TATELI MANDOLANG [TATM]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.4449641","124.7566269","AU 10P COKE","","1Y1N,1YZ1,1Y14","",""
"1Y1O","PANIKI ATAS MINUT [PAMT]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.493368958","124.9217791","AU 10P COKE","","1Y1O,1YZ1,1Y14","",""
"1Y1R","TUMALUNTUNG MINUT [TUUT]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.41165939","124.9979447","AU 10P COKE","","1Y1R,1YZ1,1Y14","",""
"1Y1U","TRANS TATELI BARU [TTRU]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.4479088","124.7598990","AU 10P COKE","","1Y1U,1YZ1,1Y14","",""
"1Y1X","SINGKIL MANADO [ILDO]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.504936366","124.8511866","AU 12P COKE","","1Y1X,1YZ1,1Y14","",""
"1Y1Y","PARIGI TUJUH ATAS [PTUS]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.447805045","124.8194658","AU 10P COKE","","1Y1Y,1YZ1,1Y14","",""
"1Y20","17 AGUSTUS [17AS]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.4649375","124.8471875","AU 10P COKE","","1Y20,1YZ1,1Y14","",""
"1Y21","HASANUDIN MANADO [HSMO]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.5097061","124.8474060","AU 12P COKE","","1Y21,1YZ1,1Y14","",""
"1Y22","W MONGINSIDI BITUNG [WMBG]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.4400377","125.1314704","AU 10P COKE","","1Y22,1YZ1,1Y14","",""
"1Y24","SARUNDAJANG BITUNG [SDBI]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.444493973","125.1217251","AU 10P COKE","","1Y24,1YZ1,1Y14","",""
"1Y25","BABE PALAR MDO [BALA]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.4663125","124.8404375","AU 8P NON COKE","","1Y25,1YZ1,1Y14","",""
"1Y26","WATUTUMOU MINUT [WAMI]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.476869882","124.9100162","AU 12P COKE","","1Y26,1YZ1,1Y14","",""
"1Y27","KOLONGAN MINUT [KOMI]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.455160798","124.939514","AC 10P COKE","","1Y27,1YZ1,1Y14","",""
"1Y28","KOLONGAN RAYA MINUT [KRMT]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.526162488","124.9554828","AU 12P COKE","","1Y28,1YZ1,1Y14","",""
